date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:40:38	148/148	---MCZ	200	added ('OK')	text/plain	date:Sat,%2024%20Sep%202022%2005:10:38%20GMT	https://maxcoach.thememove.com/robots.txt		(from )
10:40:39	356822/356822	---MCZ	200	added ('OK')	text/html	date:Sat,%2024%20Sep%202022%2005:10:38%20GMT	https://maxcoach.thememove.com/main/	C:/xampp/htdocs/ssip/maxcoach.thememove.com/main/index.html	(from )
10:40:40	7056/7056	---MCZ	200	added ('OK')	text/css	etag:W/%2260c9b6e2-1b90%22	https://maxcoach.thememove.com/main/wp-content/plugins/learnpress-course-review/assets/css/course-review.css	C:/xampp/htdocs/ssip/maxcoach.thememove.com/main/wp-content/plugins/learnpress-course-review/assets/css/course-review.css	(from https://maxcoach.thememove.com/main/)
10:40:40	33305/33305	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%2224a6e2ba3ae948dc40b10d9a9aedd3e2%22	https://maxcoach.thememove.com/main/feed/	C:/xampp/htdocs/ssip/maxcoach.thememove.com/main/feed/index.html	(from https://maxcoach.thememove.com/main/)
10:40:41	58171/58171	---MCZ	200	added ('OK')	text/css	etag:W/%2260c9ab67-e33b%22	https://maxcoach.thememove.com/main/wp-includes/css/dist/block-library/style.min.css	C:/xampp/htdocs/ssip/maxcoach.thememove.com/main/wp-includes/css/dist/block-library/style.min.css	(from https://maxcoach.thememove.com/main/)
10:40:41	18350/18350	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%224116729f61c36d5fd58cf8e8e131587c%22	https://maxcoach.thememove.com/main/comments/feed/	C:/xampp/htdocs/ssip/maxcoach.thememove.com/main/comments/feed/index.html	(from https://maxcoach.thememove.com/main/)
10:40:41	2714/2714	---MCZ	200	added ('OK')	text/css	etag:W/%2260c9ab67-a9a%22	https://maxcoach.thememove.com/main/wp-includes/css/dist/block-library/theme.min.css	C:/xampp/htdocs/ssip/maxcoach.thememove.com/main/wp-includes/css/dist/block-library/theme.min.css	(from https://maxcoach.thememove.com/main/)
10:40:42	5305/5305	---MCZ	200	added ('OK')	text/css	etag:W/%22622a5235-14b9%22	https://maxcoach.thememove.com/main/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-vendors-style.css	C:/xampp/htdocs/ssip/maxcoach.thememove.com/main/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-vendors-style.css	(from https://maxcoach.thememove.com/main/)
10:40:42	197726/197726	---MCZ	200	added ('OK')	text/css	etag:W/%22622a5235-3045e%22	https://maxcoach.thememove.com/main/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-style.css	C:/xampp/htdocs/ssip/maxcoach.thememove.com/main/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-style.css	(from https://maxcoach.thememove.com/main/)
10:40:42	18462/18462	---MCZ	200	added ('OK')	text/css	etag:W/%2261e90850-481e%22	https://maxcoach.thememove.com/main/wp-content/plugins/paid-memberships-pro/css/frontend.css	C:/xampp/htdocs/ssip/maxcoach.thememove.com/main/wp-content/plugins/paid-memberships-pro/css/frontend.css	(from https://maxcoach.thememove.com/main/)
10:40:43	86/86	---MCZ	200	added ('OK')	text/css	etag:W/%2261e90850-56%22	https://maxcoach.thememove.com/main/wp-content/plugins/paid-memberships-pro/css/print.css	C:/xampp/htdocs/ssip/maxcoach.thememove.com/main/wp-content/plugins/paid-memberships-pro/css/print.css	(from https://maxcoach.thememove.com/main/)
10:40:43	933/933	---MCZ	200	added ('OK')	text/css	etag:W/%2261e908af-3a5%22	https://maxcoach.thememove.com/main/wp-content/plugins/wp-events-manager/inc/libraries//countdown/css/jquery.countdown.css	C:/xampp/htdocs/ssip/maxcoach.thememove.com/main/wp-content/plugins/wp-events-manager/inc/libraries/countdown/css/jquery.countdown.css	(from https://maxcoach.thememove.com/main/)
10:40:43	5098/5098	---MCZ	200	added ('OK')	text/css	etag:W/%2261e908af-13ea%22	https://maxcoach.thememove.com/main/wp-content/plugins/wp-events-manager/assets//css/frontend/events.css	C:/xampp/htdocs/ssip/maxcoach.thememove.com/main/wp-content/plugins/wp-events-manager/assets/css/frontend/events.css	(from https://maxcoach.thememove.com/main/)
